william	will,bill,billy,liam
robert	rob,bob,bobby,bert
michael	mike,mickey
elizabeth	liz,beth,betsy,eliza
katherine	kat,katy,kate,katie
charles	charlie,chuck
richard	dick,rich,richie
james	jim,jimmy,jamie
margaret	meg,peggy,maggie
anthony	tony
andrew	drew
nicholas	nick,nicky
alexander	alex,sasha
patrick	pat
christopher	chris,topher
stephen	steve,stevie
jennifer	jen,jenny
jonathan	jon,jonny
jacob	jake
benjamin	ben,benny,benji 
