name,has_nickname,is_nickname,popularity_freq
wesley,True,False,24.53
alexandra,True,False,24.5
alfred,True,False,24.48
steve,False,True,24.2
marcus,True,False,24.16
katie,False,True,24.13
sheila,True,False,23.94
derek,True,False,23.88
lynn,False,True,23.47
erica,False,True,23.25
lucille,True,False,23.2
jeffery,True,False,23.17
lucy,True,True,23.14
sherry,False,True,23.09
alicia,True,False,23.08
herbert,True,False,22.93
vivian,True,False,22.74
eddie,True,True,22.73
pauline,True,False,22.71
ricky,True,True,22.48
veronica,True,False,22.39
jeremiah,True,False,22.24
kristen,True,False,22.08
charlie,True,True,22.0
suzanne,True,False,21.97
calvin,True,False,21.96
kim,False,True,21.47
joanne,True,False,21.24
geraldine,True,True,21.2
gail,False,True,21.07
claire,True,False,21.06
lorraine,True,False,21.06
ray,True,True,21.0
sebastian,True,False,20.98
bertha,True,False,20.88
juanita,True,False,20.86
jill,False,True,20.86
june,True,True,20.71
levi,True,False,20.66
mike,True,True,20.64
sally,False,True,20.57
darlene,True,False,20.54
madeline,True,True,20.45
stella,False,True,20.31
leroy,True,False,20.19
bernard,True,False,20.09
randall,True,False,19.96
jay,False,True,19.73
beatrice,True,True,19.51
corey,True,False,19.37
casey,True,True,19.35
manuel,True,True,19.19
dominic,True,False,19.14
ronnie,False,True,19.08
clifford,True,True,19.01
miguel,True,False,18.99
eileen,True,True,18.96
savannah,True,False,18.96
elsie,True,True,18.87
debbie,True,True,18.83
nora,True,True,18.75
naomi,True,False,18.71
sydney,True,False,18.68
stacy,True,True,18.61
lydia,True,False,18.46
regina,True,False,18.4
lily,False,True,18.3
leon,False,True,18.15
tommy,False,True,18.12
kristin,True,False,18.09
jo,False,True,18.09
hailey,True,True,17.91
rosa,True,True,17.81
gertrude,True,True,17.77
loretta,True,False,17.76
molly,False,True,17.49
roberta,True,False,17.23
cassandra,True,True,17.09
bessie,False,True,17.09
cathy,True,True,17.06
jackie,False,True,17.0
chris,True,True,17.0
annette,True,False,16.96
jon,True,True,16.91
don,False,True,16.87
laurie,False,True,16.84
kaitlyn,True,False,16.66
max,False,True,16.65
lindsey,False,True,16.51
mitchell,True,True,16.49
georgia,False,True,16.44
jeanette,True,False,16.39
jeanne,True,False,16.36
aubrey,True,False,16.25
rosemary,True,False,16.23
lloyd,False,True,16.19
stacey,True,True,16.17
bill,True,True,16.12
minnie,True,True,16.0
agnes,True,True,15.97
beth,True,True,15.97
addison,True,False,15.92
joann,True,False,15.74
edgar,True,False,15.73
yvonne,True,False,15.66
micheal,True,False,15.64
daisy,False,True,15.61
lewis,False,True,15.59
floyd,True,False,15.57
cora,False,True,15.4
jim,True,True,15.39
vicki,True,True,15.36
gina,False,True,15.34
nellie,False,True,15.27
cole,True,True,15.26
eli,False,True,15.1
carla,True,True,15.06
heidi,False,True,14.88
ivan,True,False,14.85
vernon,False,True,14.83
mackenzie,True,False,14.77
terri,True,False,14.7
faith,True,False,14.69
ricardo,True,False,14.63
derrick,True,False,14.61
sadie,False,True,14.57
lena,True,True,14.57
