V1,last_category,star_signs
1,2,Aries|Aquarius
2,1,Libra
2,2,Taurus|Leo|Virgo
2,1,Gemini|Capricorn
2,2,Sagittarius
2,3,Cancer
3,2,Scorpio
2,2,Pisces
