first_category,V1,last_category,countries
1,1,1,Italy|Indonesia|Australia|Egypt|Austria|Argentina|India|Israel
1,1,3,Iceland|Ireland
1,2,1,Korea|Vietnam|Turkey|Norway
1,2,2,Moroccoo|Mexico|Netherlands
1,2,3,Newzealand|Finland
1,3,1,France
1,3,3,Thailand
2,1,1,United Kingdom
2,2,1,Germany|Jordan|Japan|Costarica|Singapore|Canada|South Africa
2,2,3,Qatar
2,3,1,Spain|Greece|Sweden|China
2,3,3,Switzerland
3,2,1,Russia|Portugal|Belgium
3,2,2,Peru
3,3,1,Brazil
